"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
103.185413908782,9.18470382806845,5.48157420009375,9.8533272894565,5.72124745929614,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
110.218569415434,5.7102202787064,6.52799953706563,9.0005137771368,9.88101231050678,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1
61.8642182236576,9.69477916718461,5.26415458414704,6.60887398873456,9.69121661502868,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1
105.299232267249,7.5487372209318,5.38102078251541,9.73173377919011,7.6812767458614,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1
90.8453018882283,6.82929734233767,6.80670248577371,8.52332684327848,8.34929834469222,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
86.3099722158573,5.64623602665961,7.45205038459972,9.02294617029838,9.84735615435056,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0
48.7380904283884,9.61817214731127,6.65749030769803,5.23720212164335,7.14252484031022,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1
87.3313264300729,6.32722643553279,6.55132246785797,9.86193467862904,7.15444692759775,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1
84.1035241849152,9.33215840137564,9.07844674540684,8.71041332138702,6.38427005615085,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0
98.7693003489709,9.40028038341552,7.31671383720823,6.39186436659656,9.9979268910829,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1
68.509772933404,5.85168299032375,8.01031384733506,5.35046143224463,8.2697561790701,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
76.5998040701045,9.52134994091466,8.94334309850819,7.16596122831106,7.105816724943,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1
66.5443430977527,9.88657149486244,8.90352143906057,5.55059751146473,5.7719623146113,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0
91.0109345438265,9.50676976819523,8.98607420152985,8.0385707563255,6.4943988295272,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1
103.876508935056,5.30231941957027,6.32404749165289,8.93495627795346,8.38457196601667,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1
70.0807913403597,8.9414538082201,8.02904448704794,6.551250112243,6.35846857912838,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1
77.3352072916919,7.68672700389288,8.78533024573699,7.25734487641603,8.19796556606889,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1
58.0285700141907,6.47766837617382,7.43625018163584,6.22176967910491,7.62261850992218,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
64.8807896063161,5.10217274655588,9.21358881285414,5.69147970993072,8.96924107219093,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0
84.0458624141216,8.42882592463866,8.62372479634359,7.96672528609633,6.10523415263742,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
66.6433193286459,5.44873309670947,6.76408151397482,6.2433168257121,5.41124582057819,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0
106.055193546249,7.51302902470343,7.22617425955832,9.40858619054779,9.74460607743822,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1
80.1798986503488,5.11358022224158,7.63818918028846,8.66323469788767,9.016927361954,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
124.61960229046,7.99722630879842,9.60196445928887,8.94170693703927,7.80621020821854,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1
69.3723418176087,7.37000969820656,6.11867201514542,7.55870546330698,8.4208985127043,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1
77.4837314901917,9.12701476016082,7.52736440859735,6.23378235963173,9.47846443974413,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
86.8567102155497,8.78721561515704,7.98256869311444,8.99231066345237,6.68057084199972,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
90.4040249913833,7.46829055482522,9.30823842645623,7.6487558381632,6.03042712435126,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0
35.1644829281884,5.94499488477595,7.54740379867144,5.24642931646667,8.5124899155926,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0
68.0407651037806,5.43848245404661,8.85236397851259,5.21900983992964,9.12242549587972,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0
91.4797237095138,7.52362292492762,5.21296558785252,8.73444462195039,8.62521734670736,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1
104.686898907215,5.71993645164184,9.53914683312178,9.04790578992106,5.91095230309293,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1
89.2874571319532,8.09949109680019,7.491582861403,8.30087253125384,8.4575996233616,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1
59.1284302745223,6.95025966735557,9.13430289947428,5.81812252989039,7.99162472598255,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
104.812633826997,7.44466390809976,7.55728455958888,8.80094714462757,9.21733590424992,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1
92.399055040589,6.01955443737097,7.92984588537365,8.85397888137959,5.54718188359402,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1
71.0027317426844,8.59690429759212,9.08603015821427,6.13993671839125,8.51739387842827,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0
66.0703991078991,9.30146368336864,6.65866749128327,5.9518619615119,6.29181505297311,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1
75.0625853619211,6.30410133628175,5.77129868557677,5.99641481996514,7.07337944419123,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0
44.3182133015982,6.04562584776431,9.21072626020759,5.69080336485058,6.56254274188541,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0
90.8063491555558,8.89271022984758,6.24761804006994,7.73511933977716,6.18452680762857,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1
85.0893850383092,6.49127795128152,7.89133518002927,7.51892052125186,5.98635694012046,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
87.449250517423,6.07280841679312,5.67696272628382,9.48205360793509,5.62812378164381,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0
